Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445088912536135469,000005A0,false,Rx,0,8,7F,04,07,A0,00,82,1B,AB,
18445088912536135691,00000720,false,Rx,0,7,04,03,0D,00,00,00,00,00,
18445088912536136103,000005DC,false,Rx,0,8,77,14,72,7F,1D,00,80,4D,
18445088912536137061,00000440,false,Rx,0,8,20,52,50,FE,78,00,7C,02,
18445088912536137306,00000540,false,Rx,0,8,F0,00,FF,00,FF,00,02,0F,
18445088912536138471,000003D4,false,Rx,0,8,45,85,40,80,08,00,00,00,
18445088912536140585,000000AE,false,Rx,0,8,6B,68,00,00,00,00,03,00,
18445088912536140827,00000280,false,Rx,0,8,01,18,2C,0D,1A,00,1B,1A,
18445088912536141065,000001A0,false,Rx,0,8,00,40,54,0A,FE,FE,00,16,
18445088912536141313,00000380,false,Rx,0,8,00,94,00,BA,00,00,00,06,
18445088912536141558,000002A0,false,Rx,0,8,00,00,00,64,00,00,60,04,
18445088912536141788,00000488,false,Rx,0,8,4D,1A,18,80,9E,FF,FF,51,
18445088912536142038,0000048C,false,Rx,0,8,00,07,07,00,00,00,00,00,
18445088912536142272,000004A0,false,Rx,0,8,4E,0A,5E,0A,48,0A,52,0A,
18445088912536142694,000000D2,false,Rx,0,5,3E,3A,00,00,04,00,00,00,
18445088912536142997,000000D0,false,Rx,0,6,AB,75,05,38,13,F0,00,00,
18445088912536143236,000000C2,false,Rx,0,8,44,80,00,00,80,10,1B,2B,
18445088912536143441,000003D0,false,Rx,0,6,00,00,08,00,C8,86,00,00,
18445088912536146433,000005C0,false,Rx,0,8,03,00,00,A6,2D,00,08,80,
18445088912536146983,00000440,false,Rx,0,8,20,52,50,FE,78,00,04,02,
18445088912536147228,00000540,false,Rx,0,8,00,00,FF,00,FF,00,02,56,
18445088912536147449,00000722,false,Rx,0,7,08,03,01,01,00,00,00,00,
18445088912536149062,00000497,false,Rx,0,8,00,60,00,00,74,46,00,60,
18445088912536149797,00000721,false,Rx,0,7,08,03,01,00,00,00,00,00,
18445088912536150330,00000280,false,Rx,0,8,01,18,2C,0D,1A,00,1C,1A,
18445088912536150532,00000284,false,Rx,0,6,6F,5B,04,30,00,00,00,00,
18445088912536150772,000000AE,false,Rx,0,8,7B,78,00,00,00,00,03,00,
18445088912536151021,00000041,false,Rx,0,8,F7,0B,00,00,00,00,00,40,
18445088912536151261,000001A0,false,Rx,0,8,00,40,54,0A,FE,FE,00,17,
18445088912536151494,00000288,false,Rx,0,8,8A,BD,78,00,00,50,ED,0C,
18445088912536151726,000001AC,false,Rx,0,8,81,1B,10,00,69,21,00,C2,
18445088912536151897,00000050,false,Rx,0,4,00,B0,34,84,00,00,00,00,
