Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1060218,50,FALSE,Rx,0,4,0,F0,60,90,0,0,0,0
1060219,000000D2,FALSE,Tx,128,5,19,7C,E0,81,4,0,0,0
1060220,000001A0,FALSE,Rx,0,8,0,40,4A,2D,0,FE,0,1C
1060221,000000AE,FALSE,Rx,0,8,C3,C0,0,0,0,0,3,0
1060222,280,FALSE,Rx,0,8,0,26,CA,1C,20,18,1D,20
1060223,000001AC,FALSE,Rx,0,8,63,0E,0,0,78,21,F5,C1
1060224,288,FALSE,Rx,0,8,8B,89,70,4,0,4B,CF,17
1060225,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,C0,E4
1060226,368,FALSE,Rx,0,8,89,1D,89,87,85,0B,14,0
1060227,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060228,488,FALSE,Rx,0,8,58,20,26,7E,A0,FF,5F,20
1060229,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,10,3
1060230,000004A0,FALSE,Rx,0,8,42,2D,4A,2D,D4,2C,EE,2C
1060231,540,FALSE,Rx,0,8,25,0,FF,0,FF,0,0,56
1060232,000004A8,FALSE,Rx,0,8,25,0,2,0,0,0,E0,C7
1060233,000000D0,FALSE,Rx,0,6,A0,5B,3,38,20,E0,0,0
1060234,000003D0,FALSE,Rx,0,6,0,80,8,0,C8,61,0,0
1060235,548,FALSE,Rx,0,3,51,0,0,0,0,0,0,0
1060236,000005A0,FALSE,Rx,0,8,7D,1C,20,E0,0,C3,1A,AB
1060237,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,E3
1060238,000005DC,FALSE,Rx,0,8,F7,1E,50,7F,1C,10,21,C9
1060239,448,FALSE,Rx,0,5,52,0,0,6,A0,0,0,0
1060240,366,FALSE,Rx,0,5,7A,0F,0,75,0,0,0,0
1060241,000000C2,FALSE,Rx,0,8,72,0,0,0,80,E0,BA,AD
1060242,392,FALSE,Rx,0,8,89,1,7,A3,3,0,0,0
1060243,000001A0,FALSE,Rx,0,8,0,40,48,2D,0,FE,0,1D
1060244,000000AE,FALSE,Rx,0,8,D3,D0,0,0,0,0,3,0
1060245,280,FALSE,Rx,0,8,0,26,C0,1C,20,18,1D,20
1060246,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,D0,F4
1060247,320,FALSE,Rx,0,8,24,30,26,43,2D,8C,30,80
1060248,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060249,488,FALSE,Rx,0,8,11,20,26,7E,A0,FF,6,30
1060250,000004A0,FALSE,Rx,0,8,46,2D,5A,2D,C4,2C,EC,2C
1060251,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,18,3
1060252,0000056A,FALSE,Rx,0,8,C4,3,0C,3C,8,0F,0,F0
1060253,540,FALSE,Rx,0,8,35,0,FF,0,FF,0,0,56
1060254,0000038A,FALSE,Rx,0,4,B5,81,34,0,0,0,0,0
1060255,548,FALSE,Rx,0,3,51,0,0,0,0,0,0,0
1060256,000000D0,FALSE,Rx,0,6,94,6C,4,3C,20,E0,0,0
1060257,480,FALSE,Rx,0,8,96,0,92,BF,1A,0,6,A7
1060258,284,FALSE,Rx,0,6,0A,0A,0,0,0,0,0,0
1060259,588,FALSE,Rx,0,8,E2,32,7E,84,0,1,0,57
1060260,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,F3
1060261,000005C0,FALSE,Rx,0,8,0F,0,80,A6,6C,0,0,45
1060262,000003A0,FALSE,Rx,0,8,A7,0F,0D,4A,F7,9,1E,0F
1060263,448,FALSE,Rx,0,5,52,0,0,7,A0,0,0,0
1060264,000000C2,FALSE,Rx,0,8,72,0,0,0,80,F0,9F,9D
1060265,50,FALSE,Rx,0,4,0,F0,70,80,0,0,0,0
1060266,550,FALSE,Rx,0,8,80,0,80,0,0,0,0,0
1060267,000000D2,FALSE,Tx,128,5,FB,7D,0,82,4,0,0,0
1060268,000001A0,FALSE,Rx,0,8,0,40,4E,2D,0,FE,0,1E
1060269,000000AE,FALSE,Rx,0,8,E3,E0,0,0,0,0,3,0
1060270,000001AC,FALSE,Rx,0,8,63,0F,0,0,77,21,FB,C1
1060271,280,FALSE,Rx,0,8,0,26,B7,1C,20,18,1D,20
1060272,288,FALSE,Rx,0,8,8B,89,70,4,0,4B,CF,17
1060273,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,E0,C4
1060274,368,FALSE,Rx,0,8,8A,1E,89,87,85,0B,14,0
1060275,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060276,488,FALSE,Rx,0,8,41,20,26,7E,A0,FF,26,40
1060277,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,20,3
1060278,000004A0,FALSE,Rx,0,8,32,2D,5E,2D,C6,2C,EC,2C
1060279,540,FALSE,Rx,0,8,45,0,FF,0,FF,0,0,6F
1060280,000004A8,FALSE,Rx,0,8,19,0,2,80,0,0,F0,6B
1060281,000000D0,FALSE,Rx,0,6,82,7D,3,3C,20,E0,0,0
1060282,000003D0,FALSE,Rx,0,6,0,80,8,0,C8,61,0,0
1060283,548,FALSE,Rx,0,3,55,17,90,0,0,0,0,0
1060284,000005A0,FALSE,Rx,0,8,7A,1E,20,F0,0,D1,1A,AB
1060285,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,3
1060286,448,FALSE,Rx,0,5,52,0,87,18,A0,0,0,0
1060287,497,FALSE,Rx,0,8,0,40,0,0,74,46,0,60
1060288,000000C2,FALSE,Rx,0,8,72,0,0,0,80,0,63,8D
1060289,000001A0,FALSE,Rx,0,8,0,40,4A,2D,0,FE,0,1F
1060290,000000AE,FALSE,Rx,0,8,F3,F0,0,0,0,0,3,0
1060291,320,FALSE,Rx,0,8,24,30,26,45,2D,8D,30,80
1060292,280,FALSE,Rx,0,8,0,26,A5,1C,20,18,1D,20
1060293,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,F0,D4
1060294,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060295,488,FALSE,Rx,0,8,88,20,26,7E,A0,FF,FF,50
1060296,000004A0,FALSE,Rx,0,8,3C,2D,56,2D,D0,2C,E8,2C
1060297,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,28,3
1060298,540,FALSE,Rx,0,8,55,0,FF,0,FF,0,0,6F
1060299,548,FALSE,Rx,0,3,51,0,0,0,0,0,0,0
1060300,0000038A,FALSE,Rx,0,4,C5,81,44,0,0,0,0,0
1060301,000000D0,FALSE,Rx,0,6,76,8E,0,38,20,E0,0,0
1060302,000003D2,FALSE,Rx,0,7,0B,4,7,0,8,0,0,0
1060303,480,FALSE,Rx,0,8,C0,0,A6,BF,1A,0,6,C5
1060304,284,FALSE,Rx,0,6,0B,0B,0,0,0,0,0,0
1060305,588,FALSE,Rx,0,8,E2,21,7E,84,0,1,0,57
1060306,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,13
1060307,000005F7,FALSE,Rx,0,4,0,0,0,0,0,0,0,0
1060308,000005C0,FALSE,Rx,0,8,0,0,80,A6,6C,0,0,4A
1060309,000003A0,FALSE,Rx,0,8,EA,0,1B,82,D7,8A,21,0F
1060310,448,FALSE,Rx,0,5,52,0,0,9,A0,0,0,0
1060311,000000C2,FALSE,Rx,0,8,72,0,0,0,80,10,46,7D
1060312,000000D2,FALSE,Tx,128,5,F8,7E,0,82,4,0,0,0
1060313,50,FALSE,Rx,0,4,0,F0,80,70,0,0,0,0
1060314,000001A0,FALSE,Rx,0,8,0,40,42,2D,0,FE,0,10
1060315,000000AE,FALSE,Rx,0,8,3,0,0,0,0,0,3,0
1060316,000001AC,FALSE,Rx,0,8,72,0,0,0,6A,21,F8,C1
1060317,280,FALSE,Rx,0,8,0,26,A3,1C,20,18,1D,20
1060318,288,FALSE,Rx,0,8,8B,89,70,4,0,4B,CF,17
1060319,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,0,24
1060320,368,FALSE,Rx,0,8,8D,1F,89,86,85,0C,14,0
1060321,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060322,488,FALSE,Rx,0,8,B8,20,26,7E,A0,FF,FF,60
1060323,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,30,3
1060324,000004A0,FALSE,Rx,0,8,42,2D,46,2D,D4,2C,DE,2C
1060325,540,FALSE,Rx,0,8,65,0,FF,0,FF,0,0,6F
1060326,000004A8,FALSE,Rx,0,8,0C,0,2,80,0,0,0,8E
1060327,000000D0,FALSE,Rx,0,6,64,9F,3,38,20,E0,0,0
1060328,000003D0,FALSE,Rx,0,6,0,80,8,0,C8,61,0,0
1060329,548,FALSE,Rx,0,3,51,0,0,0,0,0,0,0
1060330,000005A0,FALSE,Rx,0,8,7E,1A,20,0,0,E0,1A,AB
1060331,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,23
1060332,448,FALSE,Rx,0,5,52,0,0,0A,A0,0,0,0
1060333,366,FALSE,Rx,0,5,75,0,0,75,0,0,0,0
1060334,000000C2,FALSE,Rx,0,8,72,0,0,0,80,20,29,6D
1060335,000001A0,FALSE,Rx,0,8,0,40,42,2D,0,FE,0,11
1060336,000000AE,FALSE,Rx,0,8,13,10,0,0,0,0,3,0
1060337,320,FALSE,Rx,0,8,24,30,26,47,2D,8E,30,80
1060338,280,FALSE,Rx,0,8,0,25,B2,1C,20,18,1D,20
1060339,000002A0,FALSE,Rx,0,8,0,0,0,24,0,0,10,34
1060340,380,FALSE,Rx,0,8,20,5E,0,0,80,0,0,0
1060341,488,FALSE,Rx,0,8,AB,20,25,7E,A0,FF,FF,70
1060342,000004A0,FALSE,Rx,0,8,42,2D,4A,2D,EC,2C,F4,2C
1060343,0000056A,FALSE,Rx,0,8,34,3,0C,3C,8,0F,0,0
1060344,440,FALSE,Rx,0,8,10,55,25,FE,7F,0,38,3
1060345,540,FALSE,Rx,0,8,75,0,FF,0,FF,0,0,6F
1060346,0000038A,FALSE,Rx,0,4,D5,81,54,0,0,0,0,0
1060347,548,FALSE,Rx,0,3,55,FF,0D,0,0,0,0,0
1060348,000000D0,FALSE,Rx,0,6,50,A0,8,38,20,E0,0,0
1060349,480,FALSE,Rx,0,8,C0,0,BB,BF,1A,0,6,D8
1060350,284,FALSE,Rx,0,6,0C,0C,0,0,0,0,0,0
1060351,588,FALSE,Rx,0,8,E2,2A,7E,3,0,1,0,57
1060352,000002C0,FALSE,Rx,0,8,0,80,0,0,53,C0,FE,33
1060353,572,FALSE,Rx,0,1,7,0,0,0,0,0,0,0
1060354,000005C0,FALSE,Rx,0,8,1,0,80,A6,6C,0,0,4B
