Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000158,320,FALSE,Rx,0,8,20,20,0E,CD,1B,C0,1B,91
1000159,497,FALSE,Rx,0,8,0,40,0,0,74,46,0,60
1000160,0AE,FALSE,Rx,0,8,AB,A8,0,0,0,0,3,0
1000161,0C2,FALSE,Rx,0,8,66,0,42,2,80,A0,70,B5
1000162,0D0,FALSE,Rx,0,6,CF,8,3D,38,22,E0,0,0
1000163,1A0,FALSE,Rx,0,8,0,40,C6,1B,FE,FE,0,1A
1000164,280,FALSE,Rx,0,8,1,10,B0,16,0E,0,16,6
1000165,1AC,FALSE,Rx,0,8,EE,1D,0,0,69,A1,FA,C1
1000166,380,FALSE,Rx,0,8,0,85,0,51,0,0,0,5
1000167,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,A0,C4
1000168,488,FALSE,Rx,0,8,2A,6,10,7E,93,FF,FF,D1
1000169,050,FALSE,Rx,0,4,0,B9,1C,A5,0,0,0,0
1000170,3A0,FALSE,Rx,0,8,48,0D,B4,3A,CF,0A,0D,3
1000171,4A0,FALSE,Rx,0,8,B6,1B,D8,1B,B8,1B,C2,1B
1000172,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,3C,2
1000173,4A8,FALSE,Rx,0,8,34,0,3,80,80,0,D4,E3
1000174,550,FALSE,Rx,0,8,40,C0,80,0,0,0,0,0
1000175,5A0,FALSE,Rx,0,8,80,E6,12,D0,0,C9,1E,AB
1000176,540,FALSE,Rx,0,8,70,0,FF,0,FF,0,2,0F
1000177,0D2,FALSE,Rx,0,5,31,35,0,0,4,0,0,0
1000178,3D4,FALSE,Rx,0,8,EB,87,6C,0,8,0,0,0
1000179,0AE,FALSE,Rx,0,8,BB,B8,0,0,0,0,3,0
1000180,1A0,FALSE,Rx,0,8,0,40,C8,1B,FE,FE,0,1B
1000181,0C2,FALSE,Rx,0,8,88,0,FE,1,80,B0,61,C8
1000182,0D0,FALSE,Rx,0,6,DD,19,3F,38,23,E0,0,0
1000183,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,B0,D4
1000184,280,FALSE,Rx,0,8,1,10,B0,16,0E,0,16,6
1000185,284,FALSE,Rx,0,6,0C,54,8,050,0,0,0,0
1000186,288,FALSE,Rx,0,8,4E,BA,78,0,0,050,B7,8
1000187,380,FALSE,Rx,0,8,0,85,0,51,0,0,0,5
1000188,3D0,FALSE,Rx,0,6,1,0,8,0,C8,80,0,0
1000189,480,FALSE,Rx,0,8,70,0,1B,94,56,8,6,A7
1000190,488,FALSE,Rx,0,8,1A,6,10,7E,93,FF,FF,E1
1000191,48A,FALSE,Rx,0,8,A7,E4,1,2,0,0,0,40
1000192,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,44,2
1000193,4A0,FALSE,Rx,0,8,B8,1B,D8,1B,A8,1B,C2,1B
1000194,588,FALSE,Rx,0,8,E9,050,7E,0,0C,80,4,96
1000195,5C0,FALSE,Rx,0,8,0A,0,0,A6,21,0,0,8D
1000196,368,FALSE,Rx,0,8,C9,1C,89,4B,5,0,12,0
1000197,3B2,FALSE,Rx,0,8,0,80,47,2,0,0,0,0
1000198,540,FALSE,Rx,0,8,80,0,FF,0,FF,0,2,56
1000199,44C,FALSE,Rx,0,8,7C,B0,45,96,58,2,5,40
1000200,320,FALSE,Rx,0,8,20,20,0E,C7,1B,C1,1B,91
1000201,0AE,FALSE,Rx,0,8,CB,C8,0,0,0,0,3,0
1000202,0C2,FALSE,Rx,0,8,88,0,20,2,80,C0,E8,95
1000203,0D0,FALSE,Rx,0,6,96,2A,41,38,25,E0,0,0
1000204,1A0,FALSE,Rx,0,8,0,40,BA,1B,FE,FE,0,1C
1000205,721,FALSE,Rx,0,7,8,1,1,0,0,0,0,0
1000206,1AC,FALSE,Rx,0,8,E1,1E,0,0,65,A1,FA,C1
1000207,280,FALSE,Rx,0,8,1,0F,B0,16,0E,0,16,6
1000208,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,C0,A4
1000209,050,FALSE,Rx,0,4,0,B9,2C,95,0,0,0,0
1000210,380,FALSE,Rx,0,8,0,85,0,4D,0,0,0,5
1000211,38A,FALSE,Rx,0,4,48,80,E8,20,0,0,0,0
1000212,3A0,FALSE,Rx,0,8,A0,0E,BC,5A,4F,0B,0F,3
1000213,488,FALSE,Rx,0,8,15,6,0F,7E,93,FF,FF,F1
1000214,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,4C,2
1000215,4A0,FALSE,Rx,0,8,B6,1B,BE,1B,A8,1B,BE,1B
1000216,4A8,FALSE,Rx,0,8,4A,0,3,80,80,0,E4,AD
1000217,5A0,FALSE,Rx,0,8,80,DE,12,E0,0,D1,1E,AB
1000218,366,FALSE,Rx,0,8,5E,0E,0,0,0,0,80,D0
1000219,56A,FALSE,Rx,0,8,DC,3,8,28,10,0F,0,E0
1000220,540,FALSE,Rx,0,8,90,0,FF,0,FF,0,2,56
1000221,2B7,FALSE,Rx,0,8,13,3,0,0,0,0,10,0
1000222,0D2,FALSE,Rx,0,5,32,36,0,0,4,0,0,0
1000223,3D4,FALSE,Rx,0,8,FF,88,77,0,8,0,0,0
1000224,0AE,FALSE,Rx,0,8,DB,D8,0,0,0,0,3,0
1000225,5C0,FALSE,Rx,0,8,0B,0,0,A6,21,0,0,8C
1000226,0C2,FALSE,Rx,0,8,88,0,DC,1,80,D0,57,CA
1000227,0D0,FALSE,Rx,0,6,FA,3B,3F,38,26,E0,0,0
1000228,1A0,FALSE,Rx,0,8,0,40,BC,1B,FE,FE,0,1D
1000229,280,FALSE,Rx,0,8,1,0F,C8,16,0E,0,16,6
1000230,284,FALSE,Rx,0,6,0D,55,8,050,0,0,0,0
1000231,288,FALSE,Rx,0,8,4E,BA,78,0,0,050,B7,7
1000232,2A0,FALSE,Rx,0,8,0,0,0,64,0,0,D0,B4
1000233,380,FALSE,Rx,0,8,0,85,0,4C,0,0,0,5
1000234,3D0,FALSE,Rx,0,6,1,0,8,0,C8,80,0,0
1000235,3D2,FALSE,Rx,0,7,A1,13,33,80,1,0,0,0
1000236,480,FALSE,Rx,0,8,70,0,22,94,56,8,6,9E
1000237,440,FALSE,Rx,0,8,30,53,32,FE,7F,0,54,2
1000238,488,FALSE,Rx,0,8,1A,6,0F,7E,93,FF,0,1
1000239,48A,FALSE,Rx,0,8,B7,E4,1,2,0,0,0,50
1000240,4A0,FALSE,Rx,0,8,B8,1B,C2,1B,B0,1B,CE,1B
1000241,368,FALSE,Rx,0,8,C0,1D,89,42,5,0,13,0
1000242,588,FALSE,Rx,0,8,E9,050,7E,6,0C,80,4,96
1000243,720,FALSE,Rx,0,7,8,60,9,0,0,0,0,0
1000244,540,FALSE,Rx,0,8,A0,0,FF,0,FF,0,2,56
1000245,44C,FALSE,Rx,0,8,69,B5,45,96,58,2,5,50
1000246,320,FALSE,Rx,0,8,20,20,0E,C7,1B,C2,1B,91
1000247,0AE,FALSE,Rx,0,8,EB,E8,0,0,0,0,3,0
